genus_species,dispersal_mode,fruit_color,fruit_length_width,seed_size,average_height,leaf_area,wood_density,spinescence,growth_rate,longevity
homalium_parkeri,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
scolopia_madagascariensis,Razafindratsima and Dunham 2016b,"Hemingway 1996, MBG voucher",MBG voucher,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
scolopia_sp,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
weinmannia_bojeriana,Razafindratsima unpbl. Data,Razafindratsima unpbl. Data,Razafindratsima unbpl.data,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
weinmannia_rutenbergii,Razafindratsima and Dunham 2016b,MBG voucher,MBG voucher,,this study,Razafindratsima unpbl. Data,Zanne et al.,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
elaeocarpus_subserratus,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
sloanea_rhodantha,Razafindratsima and Dunham 2016a ,Razafindratsima unpbl. Data,Razafindratsima unbpl.data,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polycardia_libera,,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dilobeia_thouarsii,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ravenea_robustior,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ravenala_madagascariensis,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dracaena_reflexa,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
dracaena_sp_1,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
pandanus_acanthostylus,local knowledge,,,,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
pandanus_sp,Razafindratsima and Dunham 2016b,,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
pandanus_sp_2,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ambavia_capuronii,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
polyalthia_henricii,Razafindratsima and Dunham 2016b,,,,this study,Razafindratsima unpbl. Data,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
xylopia_buxifolia,Razafindratsima et al. 2014 ,Hemingway 1996,,,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
aspidostemon_humbertianum,Razafindratsima and Dunham 2016b,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,family-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
beilschmiedia_pedicellata,Overdorff 1993,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
